Temperatura_K,E_Clasico_zJ,E_Oasis_zJ,Ahorro_Porcentaje
200,1.9140,1.3288,30.58
210,2.0097,1.3952,30.58
220,2.1054,1.4616,30.58
230,2.2011,1.5281,30.58
240,2.2968,1.5945,30.58
250,2.3925,1.6610,30.58
260,2.4882,1.7274,30.58
270,2.5839,1.7938,30.58
280,2.6796,1.8603,30.58
290,2.7753,1.9267,30.58
300,2.8710,1.9932,30.58
310,2.9667,2.0596,30.58
320,3.0624,2.1260,30.58
330,3.1581,2.1925,30.58
340,3.2538,2.2589,30.58
350,3.3495,2.3253,30.58
360,3.4452,2.3918,30.58
370,3.5409,2.4582,30.58
380,3.6366,2.5247,30.58
390,3.7323,2.5911,30.58
400,3.8280,2.6575,30.58
